,fed_party,potus_party,recess,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2011-01-26,1.0,0.0,0.0,1.0,9.1,12.806,630.0,100.2521,3.25,3.5,-0.9,2.1,8.205,0.12,0.12,-0.40000000000000036,0.8839999999999986,36.0,0.6662800000000004,0.0,-8.4,-4.0,0.9000000000000001,-0.4659999999999993,0.0,1145.7899411034048,77.33815936043509,1.205133950771077,0.025011330992840627
2011-03-15,1.0,0.0,0.0,1.29,9.0,13.259,600.0,100.3488,3.25,3.5,-0.9,2.1,8.205,0.12,0.44000000000000006,-0.8000000000000007,0.9589999999999996,55.0,0.45335000000000036,0.0,-7.9,-3.0,-0.19999999999999973,-0.2289999999999992,0.0,1197.7208727261461,80.5547164767075,1.2417205771341,-0.028782343677531675
2011-04-27,1.0,0.0,0.0,1.42,9.1,13.326,554.0,100.2435,3.25,6.9,2.7,2.7,8.044,0.12,0.5299999999999999,-0.20000000000000107,0.7210000000000001,15.0,0.15510000000000446,0.0,-4.5,0.6000000000000001,0.40000000000000036,-0.3899999999999988,0.0,1278.280528777671,80.1132112276967,0.4584519499868427,-0.04810858402510491
2011-06-22,1.0,0.0,0.0,1.62,9.1,11.886,608.0,99.77991,3.25,6.9,2.7,2.7,8.044,0.12,0.4600000000000002,0.09999999999999964,-1.1950000000000003,91.0,-0.5709899999999948,0.0,3.4000000000000004,3.6,0.6000000000000001,-0.1609999999999996,0.0,1321.6028416542483,76.58398833616134,-0.06680404644088786,-0.021226694126869033
2011-08-09,1.0,0.0,0.0,1.79,9.0,12.604,585.0,99.25172,3.25,5.6,-0.1,2.4,7.533,0.12,0.3700000000000001,-0.09999999999999964,-0.7220000000000013,31.0,-0.9917799999999914,0.0,-1.3000000000000007,-2.8000000000000003,-0.30000000000000027,-0.5110000000000001,0.0,1341.860358972214,74.5938358978555,-0.46244156835194183,0.001564376296688629
2011-09-21,1.0,0.0,0.0,1.84,9.0,13.356,650.0,99.12444,3.25,5.6,-0.1,2.4,7.533,0.12,0.28,0.0,1.0760000000000005,89.0,-0.9220599999999877,0.0,-1.3000000000000007,-2.8000000000000003,-0.30000000000000027,-0.5110000000000001,0.0,1344.0523594435306,74.55632124704738,-1.4790325848636952,0.0051374519600315355
2011-11-02,1.0,0.0,0.0,1.93,8.8,13.73,610.0,99.14287,3.25,3.1,4.6,0.5,7.339,0.12,0.22999999999999998,-0.1999999999999993,1.0099999999999998,-13.0,-0.35075999999999397,0.0,-2.4999999999999996,4.699999999999999,-1.9,-0.19399999999999995,0.0,1280.5106575492134,73.99796516695093,-1.0274773570224063,0.02936332996948459
2011-12-13,1.0,0.0,0.0,2.06,8.5,13.798,694.0,99.50371,3.25,3.1,4.6,0.5,7.339,0.12,0.27,-0.5,1.1940000000000008,109.0,0.25198999999999216,0.0,-2.4999999999999996,4.699999999999999,-1.9,-0.19399999999999995,0.0,1156.3200073315297,74.8686916350479,0.7533850741593388,0.0344155479872438
2012-01-25,1.0,0.0,0.0,2.09,8.3,14.395,723.0,99.72057,3.25,5.0,3.4,2.4,7.264,0.12,0.24999999999999978,-0.6999999999999993,1.0389999999999997,73.0,0.5961299999999881,0.0,-0.5999999999999996,3.5,0.0,-0.26900000000000013,0.0,1177.6660291265903,76.52669603190932,0.9611871750006242,0.0363104307038585
2012-03-13,1.0,0.0,0.0,2.02,8.2,14.594,695.0,99.93271,3.25,5.0,3.4,2.4,7.264,0.12,0.030000000000000027,-0.40000000000000036,0.8509999999999991,-16.0,0.6459100000000007,0.0,1.9,-1.1999999999999997,1.9,-0.07500000000000018,0.0,1194.362468863999,79.24441543429819,1.6024879364758138,0.0036330734629233113
