,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan
1991-03-27,1.0,1.0,1.0,0.0,3.43,6.8,12.848,921.0,97.7066,2.5,-1.9,4.0,7.247,6.25,3.3,-0.44999999999999973,0.5999999999999996,-0.2859999999999996,-224.0,0.4937699999999978,-1.1,1.7000000000000002,1.0,-0.05600000000000005,-1.25,-1.4000000000000004,311.0120880289899,82.23884612315489,10.147673531655224,0.5630169440792245,0.0213711358186616,-0.012006642230817524
1991-05-15,1.0,1.0,0.0,0.0,3.45,6.9,12.487,996.0,98.4444,15.4,3.2,3.0,7.212,6.0,3.1,-0.36999999999999966,0.5,0.6579999999999995,198.0,1.282910000000001,12.9,5.1,-1.0,-0.03500000000000014,-1.0,-0.7999999999999998,339.8104563651241,80.08260643884118,9.370556826849732,0.45644122503191115,0.12152970387162608,-0.005471740142969972
1991-07-05,1.0,1.0,0.0,0.0,3.23,6.9,12.719,1036.0,98.7811,15.4,3.2,3.0,7.212,5.75,3.3,-0.20000000000000018,0.10000000000000053,-0.12900000000000134,115.0,1.0745000000000005,12.9,5.1,-1.0,-0.03500000000000014,-0.5,0.0,374.45439241294366,87.98826512061031,9.11723874904653,0.054232131458352845,0.0686520341307813,-0.00657742856564266
1991-08-21,1.0,1.0,0.0,0.0,2.91,6.9,12.565,1049.0,99.17667,9.8,2.0,3.2,7.166,5.75,3.2,-0.43999999999999995,0.20000000000000018,0.5269999999999992,48.0,1.101389999999995,-5.6,-1.2000000000000002,0.20000000000000018,-0.045999999999999375,-0.25,0.0,376.3192620388703,92.95862823416493,8.647597254004577,0.06269584151008235,0.01680427925624506,-0.0019136915007796533
1991-10-02,1.0,1.0,0.0,0.0,2.9,6.9,13.107,1015.0,99.20341,9.8,2.0,3.2,7.166,5.5,3.0,-0.33000000000000007,0.0,0.3879999999999999,-21.0,0.4223100000000102,-5.6,-1.2000000000000002,0.20000000000000018,-0.045999999999999375,-0.25,-0.2999999999999998,376.32713704054635,96.32707421763266,8.58741418764302,0.1307912213209297,-0.0429368903677924,-0.0024786861343431697
1991-11-06,1.0,1.0,0.0,0.0,2.83,7.0,12.217,1079.0,99.1512,9.3,1.4,2.4,7.058,5.25,3.2,-0.27,0.20000000000000018,-0.754999999999999,16.0,0.11307999999999652,-0.5,-0.6000000000000001,-0.8000000000000003,-0.10800000000000054,-0.5,0.10000000000000009,384.1539497195083,94.99895321448099,8.654157131960336,0.03872065108919527,-0.04635471546312689,-0.006376946598894314
1991-12-18,1.0,1.0,0.0,-1.0,3.0,7.3,12.658,1079.0,99.03893,9.3,1.4,2.4,7.058,4.75,2.7,0.08999999999999986,0.39999999999999947,0.09299999999999997,30.0,-0.13774000000000797,-0.5,-0.6000000000000001,-0.8000000000000003,-0.10800000000000054,-1.0,-0.5,391.22477924454586,93.53193647790556,8.527078565980167,-0.08676364725872716,-0.06082763517374396,-0.010105101152265046
1992-02-06,1.0,1.0,0.0,0.0,2.88,7.3,12.591,1176.0,99.08805,7.4,4.9,1.5,6.886,4.5,2.7,0.04999999999999982,0.2999999999999998,0.3739999999999988,97.0,-0.06315000000000737,-1.9000000000000004,3.5000000000000004,-0.8999999999999999,-0.1719999999999997,-0.75,-0.5,376.4796420937545,90.52462186951568,8.23676582761251,0.32055128674632566,-0.05634635625098288,-0.01668860492902129
1992-04-01,1.0,1.0,0.0,0.0,2.99,7.4,12.824,1297.0,99.38452,7.4,4.9,1.5,6.886,4.0,2.6,-0.009999999999999787,0.10000000000000053,0.16600000000000037,218.0,0.3455900000000014,-1.9000000000000004,3.5000000000000004,-0.8999999999999999,-0.1719999999999997,-0.75,-0.10000000000000009,394.71098049463524,84.04296266045124,7.131121281464531,0.20603139251630526,0.056564552546759364,-0.007909924869889232
1992-05-20,1.0,1.0,0.0,0.0,2.8,7.6,13.098,1214.0,99.63816,0.2,4.4,2.4,6.814,4.0,2.9,-0.08000000000000007,0.2999999999999998,0.5070000000000014,38.0,0.5501100000000037,-7.2,-0.5,0.8999999999999999,-0.07200000000000006,-0.5,0.19999999999999973,411.18670801414413,87.5152436722698,6.5,-0.01701361611634847,0.027184018217554846,0.0
1992-07-02,1.0,1.0,0.0,0.0,2.8,7.8,13.543,1145.0,99.66827,0.2,4.4,2.4,6.814,3.75,3.1,-0.1900000000000004,0.39999999999999947,0.7189999999999994,-152.0,0.28375000000001194,-7.2,-0.5,0.8999999999999999,-0.07200000000000006,-0.25,0.5,406.8364707684899,91.3357532364462,6.5,0.04849594226524361,-0.04588197607820366,0.0
1992-08-19,1.0,1.0,0.0,-1.0,2.75,7.6,12.873,1226.0,99.64877,8.8,4.0,2.0,6.735,3.25,2.8,-0.18999999999999995,0.1999999999999993,0.3229999999999986,127.0,0.10923999999999978,8.600000000000001,-0.40000000000000036,-0.3999999999999999,-0.07899999999999974,-0.75,-0.20000000000000018,410.38856394380036,90.39603968430438,6.6626239511823035,0.047201327161707204,-0.08569452888280353,-0.006061035620987831
1992-10-07,1.0,1.0,0.0,0.0,2.61,7.6,13.378,1186.0,99.68358,8.8,4.0,2.0,6.735,3.25,3.0,-0.18999999999999995,-0.20000000000000018,-0.16499999999999915,41.0,0.01530999999999949,8.600000000000001,-0.40000000000000036,-0.3999999999999999,-0.07899999999999974,-0.5,-0.10000000000000009,408.3282327635974,84.49527499084705,6.352402745995424,0.11510657852416047,-0.03601479548005481,-0.004374152001782065
1992-11-18,1.0,1.0,0.0,0.0,2.61,7.4,13.218,1214.0,99.9353,2.0,4.2,2.8,6.584,3.0,2.9,-0.20999999999999996,-0.2999999999999998,0.3650000000000002,75.0,0.2772199999999998,-6.800000000000001,0.20000000000000018,0.7999999999999998,-0.1510000000000007,-0.25,0.19999999999999973,418.0168442831614,79.428067181876,6.0,-0.030420788438010958,0.06533773692655903,0.0
1992-12-23,1.0,1.0,0.0,0.0,2.5,7.4,13.784,1227.0,100.0685,2.0,4.2,2.8,6.584,3.0,2.8,-0.25,-0.1999999999999993,0.9110000000000014,1.0,0.41973000000000127,-6.800000000000001,0.20000000000000018,0.7999999999999998,-0.1510000000000007,-0.25,0.0,410.4971921826209,78.98877122822287,6.0,0.15994721216037355,0.11849558242714738,0.0
1993-02-04,1.0,0.0,0.0,0.0,2.5,7.3,13.457,1210.0,100.1335,0.9,0.7,2.3,6.508,3.0,2.9,-0.14000000000000012,0.0,-0.19799999999999862,-34.0,0.3468900000000019,-1.1,-3.5,-0.5,-0.07599999999999962,0.0,0.10000000000000009,410.88405119708983,85.68646931710086,6.0,0.2841807146200431,0.06994294600924089,0.0
1993-03-24,1.0,0.0,0.0,0.0,2.45,7.0,13.326,1083.0,100.0243,0.9,0.7,2.3,6.508,3.0,3.1,-0.1599999999999997,-0.40000000000000036,0.10800000000000054,-131.0,0.08899999999999864,-1.1,-3.5,-0.5,-0.07599999999999962,0.0,0.20000000000000018,430.0110980583092,89.97545214899618,6.0,0.1550263148896622,0.04182090942360562,0.0
