,fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,loan,exports,rgdp,gdpg,veloc,ffr,d_pce,d_ue,d_cars,d_house,d_cli,d_loan,d_exports,d_rgdp,d_gdpg,d_veloc,d_ffr,b0_spx,b0_usd,b1_spx,b1_usd
2011-01-26,1.0,0.0,0.0,0.0,1.0,9.1,12.806,630.0,100.2521,3.25,3.5,-0.9,2.1,8.205,0.12,0.15000000000000002,-0.7000000000000011,0.5059999999999985,85.0,0.3566500000000019,0.0,-7.9,-3.0,-0.19999999999999973,-0.2289999999999992,0.0,1205.2212529316002,80.53444216793837,1.6002287456934647,-0.022218366852242478
2011-03-15,1.0,0.0,0.0,0.0,1.29,9.0,13.259,600.0,100.3488,3.25,3.5,-0.9,2.1,8.205,0.12,0.29000000000000004,-0.09999999999999964,0.4530000000000012,-30.0,0.09669999999999845,0.0,0.0,0.0,0.0,0.0,0.0,1290.8241758766264,78.88245987608951,0.636739720826749,-0.037744385671521725
2011-04-27,1.0,0.0,0.0,0.0,1.42,9.1,13.326,554.0,100.2435,3.25,6.9,2.7,2.7,8.044,0.12,0.26,0.09999999999999964,0.245000000000001,37.0,-0.10739999999999839,0.0,3.4000000000000004,3.6,0.6000000000000001,-0.1609999999999996,0.0,1302.8107297760332,77.20766176811435,0.41472127299640515,-0.04762128665873549
2011-06-22,1.0,0.0,0.0,0.0,1.62,9.1,11.886,608.0,99.77991,3.25,6.9,2.7,2.7,8.044,0.12,0.20000000000000018,0.0,-1.4400000000000013,54.0,-0.4635899999999964,0.0,0.0,0.0,0.0,0.0,0.0,1366.9285538931392,74.07130001046764,-1.541024577711473,0.01817060524605414
2011-08-09,1.0,0.0,0.0,0.0,1.79,9.0,12.604,585.0,99.25172,3.25,5.6,-0.1,2.4,7.533,0.12,0.16999999999999993,-0.09999999999999964,0.718,-23.0,-0.528189999999995,0.0,-1.3000000000000007,-2.8000000000000003,-0.30000000000000027,-0.5110000000000001,0.0,1299.8401245831412,75.14724553792279,-0.06203234277685643,-0.012499862203210206
2011-09-21,1.0,0.0,0.0,0.0,1.84,9.0,13.356,650.0,99.12444,3.25,5.6,-0.1,2.4,7.533,0.12,0.14000000000000012,0.0,0.6359999999999992,27.0,-0.369189999999989,0.0,0.0,0.0,0.0,0.0,0.0,1264.9319281591745,73.47500467782953,-2.029500140503438,0.045451817108213104
2011-11-02,1.0,0.0,0.0,0.0,1.93,8.8,13.73,610.0,99.14287,3.25,3.1,4.6,0.5,7.339,0.12,0.08999999999999986,-0.1999999999999993,0.37400000000000055,-40.0,0.01842999999999506,0.0,-2.4999999999999996,4.699999999999999,-1.9,-0.19399999999999995,0.0,1145.5390298558186,77.02851998158272,1.509089344303105,-0.00011366187309245267
2011-12-13,1.0,0.0,0.0,0.0,2.06,8.5,13.798,694.0,99.50371,3.25,3.1,4.6,0.5,7.339,0.12,0.13000000000000012,-0.3000000000000007,0.06799999999999962,84.0,0.36083999999999605,0.0,0.0,0.0,0.0,0.0,0.0,1239.4799588437845,75.90157998480834,-0.19973878336538758,0.05478824892666203
2012-01-25,1.0,0.0,0.0,0.0,2.09,8.3,14.395,723.0,99.72057,3.25,5.0,3.4,2.4,7.264,0.12,0.09999999999999987,-0.29999999999999893,0.6519999999999992,12.0,0.43376999999999555,0.0,1.9,-1.1999999999999997,1.9,-0.07500000000000018,0.0,1202.7488787390882,78.8335620862153,1.8231226773296385,0.039144776826222895
2012-03-13,1.0,0.0,0.0,0.0,2.02,8.2,14.594,695.0,99.93271,3.25,5.0,3.4,2.4,7.264,0.12,-0.06999999999999984,-0.10000000000000142,0.19899999999999984,-28.0,0.2121400000000051,0.0,0.0,0.0,0.0,0.0,0.0,1299.4898751092128,80.1471042152673,1.3876765243125257,-0.023415950717096436
