"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",105.9379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",106.448,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",106.8922,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",107.1327,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",107.1145,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",106.9299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",106.6931,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",106.4751,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",106.3286,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",106.198,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",106.0266,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",105.778,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",105.5061,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",105.2339,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",104.9514,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",104.6366,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",104.2511,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",103.7132,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",102.961,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",101.9742,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.8329,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.58222,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.31804,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",97.21667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",96.4231,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",95.85595,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",95.43715,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",95.11914,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",94.8113,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",94.44363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",94.06915,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",93.73842,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",93.45617,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",93.30257,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",93.35818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",93.66662,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",94.17815,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",94.80255,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",95.46854,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",96.13087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",96.72896,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",97.23076,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",97.67598,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.13786,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.57845,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",99.07994,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.62994,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",100.1855,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",100.6638,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",101.0185,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",101.1991,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",101.1567,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.908,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",100.5442,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",100.1225,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.72852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.47559,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.38676,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.42481,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.59888,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.92322,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",100.3293,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.8097,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",101.3295,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",101.8448,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",102.3523,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",102.7644,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",103.0815,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",103.2687,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",103.3093,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",103.2603,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",103.1708,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",103.058,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",102.9684,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",102.9229,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",102.9456,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-06",103.0538,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-07",103.1668,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-08",103.2237,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-09",103.1798,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-10",103.0087,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-11",102.8114,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-12",102.7062,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-01",102.7297,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-02",102.8714,
