DATE,OECDLOLITOAASTSAM
2005-12-01,100.954877848238
2006-01-01,101.110235708868
2006-02-01,101.228622094899
2006-03-01,101.306906142938
2006-04-01,101.34689558347
2006-05-01,101.357523292627
2006-06-01,101.361385889162
2006-07-01,101.37949837515
2006-08-01,101.432081595829
2006-09-01,101.523682833803
2006-10-01,101.641835916169
2006-11-01,101.773058413868
2006-12-01,101.904855015637
2007-01-01,102.022483290491
2007-02-01,102.125641762529
2007-03-01,102.211715384698
2007-04-01,102.27837896512
2007-05-01,102.317605711413
2007-06-01,102.321558820196
2007-07-01,102.286457327633
2007-08-01,102.213648544445
2007-09-01,102.120596710424
2007-10-01,102.014837676682
2007-11-01,101.89042510747
2007-12-01,101.749831179364
2008-01-01,101.582160085279
2008-02-01,101.373672602644
2008-03-01,101.119453367859
2008-04-01,100.812174763886
