DATE,ADPWNUSNERSA
2021-04-24,117719000
2021-05-01,117836000
2021-05-08,117880000
2021-05-15,117929000
2021-05-22,118026000
2021-05-29,118198000
2021-06-05,118310000
2021-06-12,118412000
2021-06-19,118585000
2021-06-26,118861000
2021-07-03,119045000
2021-07-10,119302000
2021-07-17,119523000
2021-07-24,119724000
2021-07-31,119817000
2021-08-07,119984000
2021-08-14,120130000
2021-08-21,120349000
2021-08-28,120518000
2021-09-04,120728000
2021-09-11,120913000
2021-09-18,121042000
2021-09-25,121219000
2021-10-02,121357000
2021-10-09,121586000
2021-10-16,121736000
2021-10-23,121937000
2021-10-30,122061000
2021-11-06,122322000
2021-11-13,122426000
2021-11-20,122537000
2021-11-27,122640000
2021-12-04,122840000
2021-12-11,123142000
2021-12-18,123253000
2021-12-25,123279000
2022-01-01,123189000
2022-01-08,123397000
2022-01-15,123606000
2022-01-22,123731000
2022-01-29,123867000
2022-02-05,124004000
2022-02-12,124091000
2022-02-19,124157000
2022-02-26,124218000
2022-03-05,124317000
2022-03-12,124379000
2022-03-19,124444000
2022-03-26,124466000
2022-04-02,124521000
2022-04-09,124596000
2022-04-16,124642000
2022-04-23,124675000
2022-04-30,124778000
2022-05-07,124822000
2022-05-14,124830000
2022-05-21,124830000
2022-05-28,124960000
2022-06-04,125017000
2022-06-11,125198000
2022-06-18,125295000
2022-06-25,125494000
2022-07-02,125611000
2022-07-09,125693000
2022-07-16,125753000
2022-07-23,125849000
2022-07-30,125903000
2022-08-06,125972000
2022-08-13,126019000
2022-08-20,126055000
2022-08-27,126126000
2022-09-03,126212000
2022-09-10,126279000
2022-09-17,126281000
2022-09-24,126310000
2022-10-01,126346000
2022-10-08,126453000
2022-10-15,126464000
2022-10-22,126527000
2022-10-29,126534000
2022-11-05,126634000
2022-11-12,126644000
2022-11-19,126676000
2022-11-26,126349000
2022-12-03,126428000
2022-12-10,126843000
2022-12-17,126929000
2022-12-24,126914000
2022-12-31,126813000
2023-01-07,126909000.0
2023-01-14,127048000.0
2023-01-21,127059000.0
2023-01-28,127102000.0
2023-02-04,127181000.0
2023-02-11,127214000.0
2023-02-18,127309000.0
2023-02-25,127329000.0
2023-03-04,127376000.0
2023-03-11,127459000.0
2023-03-18,127451000.0
2023-03-25,127514000.0
2023-04-01,127544000.0
2023-04-08,127636000.0
2023-04-15,127742000.0
2023-04-22,127734000.0
2023-04-29,127850000
2023-05-06,127938000
2023-05-13,127955000
2023-05-20,128007000
2023-05-27,128063000.0
2023-06-03,128181000.0
2023-06-10,128320000.0
2023-06-17,128504000.0
2023-06-24,128609000.0
2023-07-01,128747000.0
2023-07-08,128864000.0
2023-07-15,128816000.0
2023-07-22,128905000.0
2023-07-29,128901000.0
2023-08-05,128868000.0
2023-08-12,128947000.0
2023-08-19,128996000.0
