fed_party,potus_party,recess,mom,pce,ue,cars,house,cli,exports,rgdp,gdpd,veloc,ffr,mich,d_pce,d_ue,d_cars,d_house,d_cli,d_exports,d_rgdp,d_gdpd,d_veloc,d_ffr,d_mich,b0_spx,b0_usd,b0_loan,b1_spx,b1_usd,b1_loan,target
1.0,0.0,0.0,0.0,2.39,5.4,15.712,1489.0,99.79406,27.4,4.2,2.2,7.623,5.25,3.0,0.0300000000000002,0.2000000000000001,0.177999999999999,14.0,0.1556500000000085,24.1,0.6000000000000001,0.9000000000000001,0.2540000000000004,0.0,-0.2000000000000001,682.4144554677636,87.84218179722025,8.25,0.5358346882742518,-0.003038324727225,0.0,1.0
1.0,0.0,0.0,0.0,2.38,5.4,15.183,1370.0,99.88283,27.4,4.2,2.2,7.623,5.25,3.0,0.04,0.2000000000000001,-0.125,-22.0,0.1714699999999993,0.0,0.0,0.0,0.0,0.0,0.0,698.693983783144,87.298638155645,8.25,1.1396401017285174,0.0048801498456707,0.0,1.0
1.0,0.0,0.0,0.0,2.35,5.3,15.682,1355.0,99.98691,7.8,2.6,2.4,7.761,5.25,3.0,-0.0299999999999998,-0.1000000000000005,0.4990000000000005,-15.0,0.1040799999999961,-19.6,-1.6,0.1999999999999997,0.1379999999999999,0.0,0.0,731.2187373819576,87.57494315201987,8.25,0.8316198774671835,0.0764452097278244,0.0,1.0
1.0,0.0,0.0,0.0,2.31,5.2,15.816,1457.0,100.2525,7.8,2.6,2.4,7.761,5.25,2.8,-0.04,-0.0999999999999996,0.1340000000000003,102.0,0.2655900000000031,0.0,0.0,0.0,0.0,0.0,-0.2000000000000001,780.4207575428767,92.61243123269644,8.25,0.5215787067126155,0.0702996101473907,0.0,2.0
1.0,0.0,0.0,1.0,2.22,4.9,15.088,1442.0,100.5384,17.0,6.8,0.8,8.002,5.5,2.9,-0.0899999999999998,-0.2999999999999998,-0.7280000000000015,-15.0,0.285899999999998,9.2,4.199999999999999,-1.6,0.2410000000000005,0.25,0.1,753.6362127130682,95.18474107222124,8.39949494949495,0.9545805331841408,0.0302893221117052,0.0027444253859348,1.0
1.0,0.0,0.0,0.0,2.22,5.0,14.524,1494.0,100.6752,17.0,6.8,0.8,8.002,5.5,2.8,0.0,0.0999999999999996,-0.5640000000000001,52.0,0.136800000000008,0.0,0.0,0.0,0.0,0.0,-0.1,810.587700326836,95.36435072670882,8.5,1.575237212372844,-0.0069845674695436,0.0,1.0
1.0,0.0,0.0,0.0,2.06,4.8,16.148,1390.0,100.8811,9.6,5.1,1.8,8.102,5.5,2.7,-0.1600000000000001,-0.2000000000000001,1.6240000000000006,-104.0,0.2058999999999997,-7.4,-1.7000000000000002,1.0,0.0999999999999996,0.0,-0.0999999999999996,888.0041240859111,94.17224941574764,8.5,1.2428631209091214,0.1254007960719929,0.0,1.0
1.0,0.0,0.0,0.0,2.05,4.9,15.096,1546.0,100.9387,9.6,5.1,1.8,8.102,5.5,2.8,-0.08,0.0,-0.4719999999999995,109.0,0.1436999999999955,0.0,0.0,0.0,0.0,0.0,0.0999999999999996,930.9085494840988,100.67062562884706,8.5,-0.0835373142912027,-0.0554114505861608,0.0,1.0
1.0,0.0,0.0,0.0,1.8,4.6,15.825,1510.0,100.9668,-0.6,3.5,1.3,8.196,5.5,2.9,-0.2499999999999997,-0.3000000000000007,0.7289999999999992,-36.0,0.0281000000000091,-10.2,-1.5999999999999996,-0.5,0.0939999999999994,0.0,0.1,953.2891265766388,97.93396721014672,8.5,-0.2455227531431641,-0.0298212469067146,0.0,1.0
1.0,0.0,0.0,0.0,1.73,4.7,16.474,1566.0,100.9307,-0.6,3.5,1.3,8.196,5.5,2.8,-0.1699999999999999,0.0,1.043000000000001,46.0,-0.0382999999999924,0.0,0.0,0.0,0.0,0.0,0.0,924.82673643992,96.14789899832472,8.5,0.736943573876292,0.026766904086096,0.0,1.0
