,ffr,change,decision,cars,cli,exports,fed_party,gdpg,house,loan,pce,potus_party,recess,rgdp,spx,ue,usd,veloc
110,1.25,0.0,0.0,16.30226666666666,97.77937733333331,-1.2000000000000002,1.0,2.0,1680.7333333333333,4.25,1.9993333333333336,1.0,0.0,2.1000000000000005,832.7180033345052,5.900000000000002,99.36599960287957,9.048
111,1.25,0.0,0.0,16.713533333333334,97.95908,0.6999999999999997,1.0,1.3999999999999995,1657.4,4.25,1.8373333333333337,1.0,0.0,3.599999999999999,895.8353332519531,6.013333333333333,99.01133371971353,8.931999999999999
112,1.0,-25.0,-1.0,16.8863,98.37450599999997,0.6999999999999997,1.0,1.3999999999999995,1839.9333333333334,4.25,1.7586666666666668,1.0,0.0,3.599999999999999,980.2753336640625,6.253333333333336,93.17600046809375,8.931999999999999
113,1.0,0.0,0.0,17.49866666666667,98.90533333333337,11.399999999999997,1.0,2.2999999999999994,1875.6666666666667,4.0,1.7799999999999996,1.0,0.0,6.800000000000002,987.1933390289063,6.166666666666666,96.09533411660286,8.940999999999999
114,1.0,0.0,0.0,17.806533333333338,99.34475399999997,11.399999999999997,1.0,2.2999999999999994,1882.4666666666667,4.0,1.7766666666666666,1.0,0.0,6.800000000000002,1008.8909993801042,6.099999999999998,97.6610000608776,8.940999999999999
115,1.0,0.0,0.0,16.595266666666664,99.91428933333336,18.16,1.0,2.4733333333333336,1963.2666666666667,4.0,1.732666666666666,1.0,0.0,4.979999999999999,1031.191330998203,6.013333333333334,92.25966695136003,9.033733333333334
116,1.0,0.0,0.0,17.514933333333325,100.42395666666667,19.200000000000003,1.0,2.5,2076.9333333333334,4.0,1.7400000000000004,1.0,0.0,4.7,1052.6986531325522,5.776666666666665,90.901332854,9.048
117,1.0,0.0,0.0,16.783266666666666,100.87685999999998,10.706666666666662,1.0,2.846666666666668,1930.4666666666667,4.0,1.800666666666667,1.0,0.0,2.619999999999999,1127.156664978646,5.699999999999998,86.52333297746418,9.042799999999998
118,1.0,0.0,0.0,17.132333333333335,101.08387333333329,9.4,1.0,2.900000000000001,1916.9333333333334,4.0,1.8800000000000003,1.0,0.0,2.2999999999999994,1143.0273234184895,5.693333333333336,87.51233266174219,9.041999999999998
119,1.0,0.0,0.0,16.983866666666668,101.11866000000003,8.599999999999998,1.0,3.299999999999999,2001.5333333333333,4.0,2.1166666666666667,1.0,0.0,3.099999999999999,1132.9089965955727,5.599999999999998,89.93066711405338,9.065
120,1.25,25.0,1.0,16.307199999999998,101.0064733333333,8.599999999999998,1.0,3.299999999999999,1838.2,4.0,2.322,1.0,0.0,3.099999999999999,1131.5176839911458,5.599999999999998,89.13733317053776,9.065
121,1.5,25.0,1.0,17.268466666666665,100.86306666666664,1.2999999999999996,1.0,2.599999999999999,2007.8666666666666,4.25,2.244,1.0,0.0,3.799999999999999,1096.4596557617188,5.4733333333333345,88.63199971516927,9.098000000000004
122,1.75,25.0,1.0,17.611733333333333,100.70974333333331,1.2999999999999996,1.0,2.599999999999999,1948.6333333333334,4.5,2.193666666666666,1.0,0.0,3.799999999999999,1113.8480103184895,5.400000000000002,89.04566701246549,9.098000000000004
123,2.0,25.0,1.0,17.473466666666674,100.5930733333333,9.800000000000002,1.0,3.099999999999999,1994.6666666666667,4.75,2.220666666666667,1.0,0.0,4.099999999999999,1123.4399983703124,5.4733333333333345,85.84033304805858,9.138
124,2.25,25.0,1.0,17.657999999999994,100.56677999999995,9.800000000000002,1.0,3.099999999999999,1886.0,5.0,2.2580000000000005,1.0,0.0,4.099999999999999,1182.6903361002603,5.400000000000002,82.4160006209681,9.138
125,2.5,25.0,1.0,16.889000000000003,100.52469999999998,7.699999999999998,1.0,3.200000000000001,2144.0,5.25,2.37,1.0,0.0,4.5,1181.4826619684895,5.300000000000002,83.10066680901171,9.321000000000002
126,2.75,25.0,1.0,17.237333333333336,100.4105333333333,7.699999999999998,1.0,3.200000000000001,1978.3333333333333,5.5,2.386666666666667,1.0,0.0,4.5,1204.2669922031248,5.266666666666665,82.39700012207031,9.321000000000002
127,3.0,25.0,1.0,17.744599999999995,100.32578333333335,9.199999999999998,1.0,2.900000000000001,2059.8,5.75,2.288666666666667,1.0,0.0,2.0,1163.049324528646,5.1966666666666645,84.26533330257618,9.444999999999999
128,3.25,25.0,1.0,18.410799999999995,100.34253999999997,9.199999999999998,1.0,2.900000000000001,2065.133333333333,6.0,2.1846666666666668,1.0,0.0,2.0,1201.7996541580728,5.006666666666666,88.27233352691798,9.444999999999999
129,3.5,25.0,1.0,20.2677,100.41031999999996,-0.10000000000000003,1.0,3.700000000000001,2063.5666666666666,6.25,2.259333333333333,1.0,0.0,3.200000000000001,1229.851684550521,4.976666666666668,89.23899968420442,9.557
130,3.75,25.0,1.0,17.123400000000004,100.52831999999998,-0.10000000000000003,1.0,3.700000000000001,2128.6,6.5,2.35,1.0,0.0,3.200000000000001,1223.8976643901042,4.96,87.50333429958594,9.557
131,4.0,25.0,1.0,15.336000000000004,100.72400000000003,13.0,1.0,3.299999999999999,2065.0,6.75,2.4500000000000006,1.0,0.0,2.2000000000000006,1193.4266683192707,5.0,89.66566543500196,9.685999999999998
132,4.25,25.0,1.0,16.76233333333333,100.97350666666662,13.0,1.0,3.299999999999999,2090.9,7.0,2.452666666666666,1.0,0.0,2.2000000000000006,1254.8173217815104,4.963333333333335,91.75033365943881,9.685999999999998
133,4.5,25.0,1.0,18.050766666666668,101.21637333333328,17.059999999999995,1.0,2.9133333333333344,2263.7,7.25,2.3916666666666666,1.0,0.0,5.39,1275.939998350521,4.706666666666666,89.22199935871873,9.846466666666663
134,4.75,25.0,1.0,16.9748,101.33142000000004,17.199999999999996,1.0,2.900000000000001,1989.0,7.5,2.374666666666666,1.0,0.0,5.5,1292.4796670747396,4.713333333333333,90.0169998163802,9.851999999999997
135,5.0,25.0,1.0,17.020866666666663,101.28836000000001,7.599999999999998,1.0,3.5,1853.2666666666667,7.75,2.5073333333333334,1.0,0.0,1.0,1305.6216634020834,4.673333333333333,87.49800084442187,9.956999999999999
136,5.25,25.0,1.0,16.882899999999996,101.18920999999997,7.599999999999998,1.0,3.5,1816.0,8.0,2.763,1.0,0.0,1.0,1255.4623372177084,4.599999999999999,85.61366678859962,9.956999999999999
137,5.25,0.0,0.0,17.421199999999995,101.15341999999995,-0.5,1.0,2.799999999999999,1719.6,8.25,2.8040000000000003,1.0,0.0,0.6000000000000001,1260.7250081296875,4.7,85.68200047821094,10.125999999999998
138,5.25,0.0,0.0,16.767599999999998,101.20496,-0.5,1.0,2.799999999999999,1692.0,8.25,2.8120000000000003,1.0,0.0,0.6000000000000001,1305.4530111104168,4.58,85.39999949133855,10.125999999999998
139,5.25,0.0,0.0,16.890433333333334,101.30777666666664,12.226666666666672,1.0,1.7266666666666663,1544.4333333333334,8.25,2.726333333333332,1.0,0.0,2.823333333333333,1351.3516561184892,4.423333333333335,86.30799967396811,10.224133333333334
140,5.25,0.0,0.0,16.806999999999995,101.48963333333334,16.100000000000005,1.0,1.3999999999999995,1596.3333333333333,8.25,2.6033333333333335,1.0,0.0,3.5,1399.6739827515626,4.466666666666668,83.98633397464648,10.254000000000003
141,5.25,0.0,0.0,16.903033333333337,101.68928666666665,8.463333333333331,1.0,3.8166666666666678,1417.0,8.25,2.7086666666666654,1.0,0.0,1.276666666666667,1422.9343301846354,4.593333333333332,84.76066614759311,10.394166666666667
142,5.25,0.0,0.0,16.70603333333333,101.88638999999998,8.199999999999998,1.0,3.900000000000001,1489.5,8.25,2.7883333333333327,1.0,0.0,1.2000000000000002,1411.9023315096354,4.436666666666667,83.85899988861327,10.399
143,5.25,0.0,0.0,16.625733333333333,102.06455999999999,6.199999999999998,1.0,2.799999999999999,1472.5,8.25,2.625000000000001,1.0,0.0,2.5,1478.1536620625,4.476666666666668,81.89366556775911,10.468999999999998
144,5.25,0.0,0.0,16.24326666666666,102.16945333333335,6.199999999999998,1.0,2.799999999999999,1443.6,8.25,2.423333333333333,1.0,0.0,2.5,1518.08433837474,4.573333333333332,82.49966634087109,10.468999999999998
145,5.25,0.0,0.0,15.927333333333335,102.14943333333336,13.100000000000003,1.0,2.2000000000000006,1350.0,8.25,2.341666666666667,1.0,0.0,2.2999999999999994,1507.4609945223963,4.683333333333334,80.64033304826303,10.595000000000006
146,4.75,-50.0,-1.0,16.460599999999996,102.02944666666663,13.100000000000003,1.0,2.2000000000000006,1251.6,8.25,2.3426666666666667,1.0,0.0,2.2999999999999994,1466.6033365708333,4.653333333333332,80.51333338433332,10.595000000000006
147,4.5,-25.0,-1.0,16.45756666666666,101.86251666666664,9.620000000000001,1.0,1.6200000000000006,1261.3,7.75,2.4669999999999996,1.0,0.0,2.493333333333333,1538.9699991705731,4.7,77.89699986799675,10.699399999999994
148,4.25,-25.0,-1.0,16.256799999999995,101.69409000000002,9.5,1.0,1.6000000000000005,1149.0,7.5,2.650999999999999,1.0,0.0,2.5,1460.4446655721356,4.79,75.68633397488932,10.702999999999994
149,3.0,-50.0,-1.0,15.726666666666665,101.48836000000001,6.7,1.0,1.5066666666666668,1080.8666666666666,7.075,2.564666666666667,1.0,0.9333333333333333,-1.4200000000000006,1384.4893188289063,5.0,76.0826667788711,10.643266666666669
150,2.25,-75.0,-1.0,15.289933333333328,101.2425666666667,6.5,1.0,1.5,1050.7333333333333,6.0,2.4613333333333336,1.0,1.0,-1.7000000000000004,1330.4083374158852,5.006666666666665,74.01933313943881,10.639000000000001
151,2.0,-25.0,-1.0,14.638933333333338,100.96942666666668,11.913333333333336,1.0,1.9666666666666666,1012.4666666666667,5.25,2.5080000000000005,1.0,1.0,2.126666666666666,1366.4836629346353,5.006666666666666,72.0636667885677,10.644599999999997
152,2.0,0.0,0.0,14.45166666666667,100.3727066666667,12.300000000000004,1.0,2.0,1028.9666666666667,5.0,2.588333333333332,1.0,1.0,2.4000000000000004,1363.107019042969,5.553333333333332,73.09199956285612,10.644999999999998
153,2.0,0.0,0.0,13.1173,99.67397200000002,-1.7999999999999996,1.0,3.0,915.1,5.0,2.685,1.0,1.0,-2.1000000000000005,1255.8146769455734,5.83,72.62399953189127,10.418000000000001
